('Philosophy', 'Complexity', 'Anthropology', 'Physics'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics'),0
('Philosophy', 'Complexity', 'Anthropology', 'Arts'),0
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics'),0
('Philosophy', 'Complexity', 'Anthropology', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Physics', 'Linguistics'),0
('Philosophy', 'Complexity', 'Physics', 'Arts'),0
('Philosophy', 'Complexity', 'Physics', 'Mathematics'),0
('Philosophy', 'Complexity', 'Physics', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Physics', 'Biology'),1
('Philosophy', 'Complexity', 'Physics', 'Education'),0
('Philosophy', 'Complexity', 'Physics', 'Computer Science'),0
('Philosophy', 'Complexity', 'Linguistics', 'Arts'),0
('Philosophy', 'Complexity', 'Linguistics', 'Mathematics'),0
('Philosophy', 'Complexity', 'Linguistics', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Linguistics', 'Biology'),0
('Philosophy', 'Complexity', 'Linguistics', 'Education'),0
('Philosophy', 'Complexity', 'Linguistics', 'Computer Science'),0
('Philosophy', 'Complexity', 'Arts', 'Mathematics'),0
('Philosophy', 'Complexity', 'Arts', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Arts', 'Biology'),0
('Philosophy', 'Complexity', 'Arts', 'Education'),0
('Philosophy', 'Complexity', 'Arts', 'Computer Science'),0
('Philosophy', 'Complexity', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Mathematics', 'Biology'),0
('Philosophy', 'Complexity', 'Mathematics', 'Education'),0
('Philosophy', 'Complexity', 'Mathematics', 'Computer Science'),1
('Philosophy', 'Complexity', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Cognitive Science', 'Education'),1
('Philosophy', 'Complexity', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Education', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Physics', 'Linguistics'),0
('Philosophy', 'Anthropology', 'Physics', 'Arts'),0
('Philosophy', 'Anthropology', 'Physics', 'Mathematics'),0
('Philosophy', 'Anthropology', 'Physics', 'Cognitive Science'),0
('Philosophy', 'Anthropology', 'Physics', 'Biology'),0
('Philosophy', 'Anthropology', 'Physics', 'Education'),0
('Philosophy', 'Anthropology', 'Physics', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Arts'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Cognitive Science'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Biology'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Education'),0
('Philosophy', 'Anthropology', 'Linguistics', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Arts', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Arts', 'Cognitive Science'),0
('Philosophy', 'Anthropology', 'Arts', 'Biology'),0
('Philosophy', 'Anthropology', 'Arts', 'Education'),0
('Philosophy', 'Anthropology', 'Arts', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Anthropology', 'Mathematics', 'Biology'),0
('Philosophy', 'Anthropology', 'Mathematics', 'Education'),0
('Philosophy', 'Anthropology', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Anthropology', 'Cognitive Science', 'Education'),0
('Philosophy', 'Anthropology', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Biology', 'Education'),0
('Philosophy', 'Anthropology', 'Biology', 'Computer Science'),0
('Philosophy', 'Anthropology', 'Education', 'Computer Science'),0
('Philosophy', 'Physics', 'Linguistics', 'Arts'),0
('Philosophy', 'Physics', 'Linguistics', 'Mathematics'),0
('Philosophy', 'Physics', 'Linguistics', 'Cognitive Science'),0
('Philosophy', 'Physics', 'Linguistics', 'Biology'),0
('Philosophy', 'Physics', 'Linguistics', 'Education'),0
('Philosophy', 'Physics', 'Linguistics', 'Computer Science'),0
('Philosophy', 'Physics', 'Arts', 'Mathematics'),0
('Philosophy', 'Physics', 'Arts', 'Cognitive Science'),0
('Philosophy', 'Physics', 'Arts', 'Biology'),0
('Philosophy', 'Physics', 'Arts', 'Education'),0
('Philosophy', 'Physics', 'Arts', 'Computer Science'),0
('Philosophy', 'Physics', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Physics', 'Mathematics', 'Biology'),0
('Philosophy', 'Physics', 'Mathematics', 'Education'),1
('Philosophy', 'Physics', 'Mathematics', 'Computer Science'),1
('Philosophy', 'Physics', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Physics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Physics', 'Biology', 'Education'),0
('Philosophy', 'Physics', 'Biology', 'Computer Science'),0
('Philosophy', 'Physics', 'Education', 'Computer Science'),0
('Philosophy', 'Linguistics', 'Arts', 'Mathematics'),0
('Philosophy', 'Linguistics', 'Arts', 'Cognitive Science'),0
('Philosophy', 'Linguistics', 'Arts', 'Biology'),0
('Philosophy', 'Linguistics', 'Arts', 'Education'),0
('Philosophy', 'Linguistics', 'Arts', 'Computer Science'),0
('Philosophy', 'Linguistics', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Linguistics', 'Mathematics', 'Biology'),0
('Philosophy', 'Linguistics', 'Mathematics', 'Education'),0
('Philosophy', 'Linguistics', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Linguistics', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Linguistics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Linguistics', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Linguistics', 'Biology', 'Education'),0
('Philosophy', 'Linguistics', 'Biology', 'Computer Science'),1
('Philosophy', 'Linguistics', 'Education', 'Computer Science'),0
('Philosophy', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Arts', 'Mathematics', 'Biology'),0
('Philosophy', 'Arts', 'Mathematics', 'Education'),0
('Philosophy', 'Arts', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Arts', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Arts', 'Cognitive Science', 'Education'),0
('Philosophy', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Arts', 'Biology', 'Education'),0
('Philosophy', 'Arts', 'Biology', 'Computer Science'),0
('Philosophy', 'Arts', 'Education', 'Computer Science'),0
('Philosophy', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Mathematics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Mathematics', 'Biology', 'Education'),0
('Philosophy', 'Mathematics', 'Biology', 'Computer Science'),0
('Philosophy', 'Mathematics', 'Education', 'Computer Science'),0
('Philosophy', 'Cognitive Science', 'Biology', 'Education'),0
('Philosophy', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Philosophy', 'Cognitive Science', 'Education', 'Computer Science'),0
('Philosophy', 'Biology', 'Education', 'Computer Science'),0
('Complexity', 'Anthropology', 'Physics', 'Linguistics'),0
('Complexity', 'Anthropology', 'Physics', 'Arts'),0
('Complexity', 'Anthropology', 'Physics', 'Mathematics'),0
('Complexity', 'Anthropology', 'Physics', 'Cognitive Science'),0
('Complexity', 'Anthropology', 'Physics', 'Biology'),0
('Complexity', 'Anthropology', 'Physics', 'Education'),0
('Complexity', 'Anthropology', 'Physics', 'Computer Science'),0
('Complexity', 'Anthropology', 'Linguistics', 'Arts'),0
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics'),0
('Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science'),0
('Complexity', 'Anthropology', 'Linguistics', 'Biology'),0
('Complexity', 'Anthropology', 'Linguistics', 'Education'),0
('Complexity', 'Anthropology', 'Linguistics', 'Computer Science'),0
('Complexity', 'Anthropology', 'Arts', 'Mathematics'),0
('Complexity', 'Anthropology', 'Arts', 'Cognitive Science'),0
('Complexity', 'Anthropology', 'Arts', 'Biology'),0
('Complexity', 'Anthropology', 'Arts', 'Education'),0
('Complexity', 'Anthropology', 'Arts', 'Computer Science'),0
('Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science'),0
('Complexity', 'Anthropology', 'Mathematics', 'Biology'),0
('Complexity', 'Anthropology', 'Mathematics', 'Education'),0
('Complexity', 'Anthropology', 'Mathematics', 'Computer Science'),0
('Complexity', 'Anthropology', 'Cognitive Science', 'Biology'),0
('Complexity', 'Anthropology', 'Cognitive Science', 'Education'),0
('Complexity', 'Anthropology', 'Cognitive Science', 'Computer Science'),0
('Complexity', 'Anthropology', 'Biology', 'Education'),0
('Complexity', 'Anthropology', 'Biology', 'Computer Science'),0
('Complexity', 'Anthropology', 'Education', 'Computer Science'),0
('Complexity', 'Physics', 'Linguistics', 'Arts'),0
('Complexity', 'Physics', 'Linguistics', 'Mathematics'),0
('Complexity', 'Physics', 'Linguistics', 'Cognitive Science'),0
('Complexity', 'Physics', 'Linguistics', 'Biology'),0
('Complexity', 'Physics', 'Linguistics', 'Education'),0
('Complexity', 'Physics', 'Linguistics', 'Computer Science'),0
('Complexity', 'Physics', 'Arts', 'Mathematics'),0
('Complexity', 'Physics', 'Arts', 'Cognitive Science'),0
('Complexity', 'Physics', 'Arts', 'Biology'),0
('Complexity', 'Physics', 'Arts', 'Education'),0
('Complexity', 'Physics', 'Arts', 'Computer Science'),0
('Complexity', 'Physics', 'Mathematics', 'Cognitive Science'),0
('Complexity', 'Physics', 'Mathematics', 'Biology'),0
('Complexity', 'Physics', 'Mathematics', 'Education'),0
('Complexity', 'Physics', 'Mathematics', 'Computer Science'),1
('Complexity', 'Physics', 'Cognitive Science', 'Biology'),0
('Complexity', 'Physics', 'Cognitive Science', 'Education'),0
('Complexity', 'Physics', 'Cognitive Science', 'Computer Science'),0
('Complexity', 'Physics', 'Biology', 'Education'),0
('Complexity', 'Physics', 'Biology', 'Computer Science'),0
('Complexity', 'Physics', 'Education', 'Computer Science'),0
('Complexity', 'Linguistics', 'Arts', 'Mathematics'),0
('Complexity', 'Linguistics', 'Arts', 'Cognitive Science'),0
('Complexity', 'Linguistics', 'Arts', 'Biology'),0
('Complexity', 'Linguistics', 'Arts', 'Education'),0
('Complexity', 'Linguistics', 'Arts', 'Computer Science'),0
('Complexity', 'Linguistics', 'Mathematics', 'Cognitive Science'),0
('Complexity', 'Linguistics', 'Mathematics', 'Biology'),0
('Complexity', 'Linguistics', 'Mathematics', 'Education'),0
('Complexity', 'Linguistics', 'Mathematics', 'Computer Science'),0
('Complexity', 'Linguistics', 'Cognitive Science', 'Biology'),0
('Complexity', 'Linguistics', 'Cognitive Science', 'Education'),0
('Complexity', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Linguistics', 'Biology', 'Education'),0
('Complexity', 'Linguistics', 'Biology', 'Computer Science'),0
('Complexity', 'Linguistics', 'Education', 'Computer Science'),0
('Complexity', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Complexity', 'Arts', 'Mathematics', 'Biology'),0
('Complexity', 'Arts', 'Mathematics', 'Education'),0
('Complexity', 'Arts', 'Mathematics', 'Computer Science'),0
('Complexity', 'Arts', 'Cognitive Science', 'Biology'),0
('Complexity', 'Arts', 'Cognitive Science', 'Education'),0
('Complexity', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Complexity', 'Arts', 'Biology', 'Education'),0
('Complexity', 'Arts', 'Biology', 'Computer Science'),0
('Complexity', 'Arts', 'Education', 'Computer Science'),0
('Complexity', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Complexity', 'Mathematics', 'Cognitive Science', 'Education'),0
('Complexity', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Complexity', 'Mathematics', 'Biology', 'Education'),0
('Complexity', 'Mathematics', 'Biology', 'Computer Science'),1
('Complexity', 'Mathematics', 'Education', 'Computer Science'),0
('Complexity', 'Cognitive Science', 'Biology', 'Education'),0
('Complexity', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Complexity', 'Cognitive Science', 'Education', 'Computer Science'),0
('Complexity', 'Biology', 'Education', 'Computer Science'),0
('Anthropology', 'Physics', 'Linguistics', 'Arts'),0
('Anthropology', 'Physics', 'Linguistics', 'Mathematics'),0
('Anthropology', 'Physics', 'Linguistics', 'Cognitive Science'),0
('Anthropology', 'Physics', 'Linguistics', 'Biology'),0
('Anthropology', 'Physics', 'Linguistics', 'Education'),0
('Anthropology', 'Physics', 'Linguistics', 'Computer Science'),0
('Anthropology', 'Physics', 'Arts', 'Mathematics'),0
('Anthropology', 'Physics', 'Arts', 'Cognitive Science'),0
('Anthropology', 'Physics', 'Arts', 'Biology'),0
('Anthropology', 'Physics', 'Arts', 'Education'),0
('Anthropology', 'Physics', 'Arts', 'Computer Science'),0
