('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Biology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Biology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Biology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Cognitive Science', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Biology', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Cognitive Science', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Biology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Biology'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Biology', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics', 'Education', 'Computer Science'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Biology', 'Education'),0
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science', 'Biology', 'Computer Science'),0
