('Philosophy', 'Complexity', 'Anthropology', 'Physics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Arts'),2
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Computer Science'),2
('Philosophy', 'Complexity', 'Physics', 'Linguistics'),2
('Philosophy', 'Complexity', 'Physics', 'Arts'),3
('Philosophy', 'Complexity', 'Physics', 'Mathematics'),3
('Philosophy', 'Complexity', 'Physics', 'Cognitive Science'),2
('Philosophy', 'Complexity', 'Physics', 'Biology'),2
('Philosophy', 'Complexity', 'Physics', 'Education'),2
('Philosophy', 'Complexity', 'Physics', 'Computer Science'),3
('Philosophy', 'Complexity', 'Linguistics', 'Arts'),2
('Philosophy', 'Complexity', 'Linguistics', 'Mathematics'),4
('Philosophy', 'Complexity', 'Linguistics', 'Cognitive Science'),3
('Philosophy', 'Complexity', 'Linguistics', 'Biology'),1
('Philosophy', 'Complexity', 'Linguistics', 'Education'),2
('Philosophy', 'Complexity', 'Linguistics', 'Computer Science'),3
('Philosophy', 'Complexity', 'Arts', 'Mathematics'),3
('Philosophy', 'Complexity', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Arts', 'Biology'),3
('Philosophy', 'Complexity', 'Arts', 'Education'),2
('Philosophy', 'Complexity', 'Arts', 'Computer Science'),3
('Philosophy', 'Complexity', 'Mathematics', 'Cognitive Science'),4
('Philosophy', 'Complexity', 'Mathematics', 'Biology'),2
('Philosophy', 'Complexity', 'Mathematics', 'Education'),3
('Philosophy', 'Complexity', 'Mathematics', 'Computer Science'),5
('Philosophy', 'Complexity', 'Cognitive Science', 'Biology'),4
('Philosophy', 'Complexity', 'Cognitive Science', 'Education'),3
('Philosophy', 'Complexity', 'Cognitive Science', 'Computer Science'),3
('Philosophy', 'Complexity', 'Biology', 'Education'),3
('Philosophy', 'Complexity', 'Biology', 'Computer Science'),3
('Philosophy', 'Complexity', 'Education', 'Computer Science'),3
('Philosophy', 'Anthropology', 'Physics', 'Linguistics'),2
('Philosophy', 'Anthropology', 'Physics', 'Arts'),2
('Philosophy', 'Anthropology', 'Physics', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Physics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Physics', 'Biology'),1
('Philosophy', 'Anthropology', 'Physics', 'Education'),1
('Philosophy', 'Anthropology', 'Physics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Arts'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Linguistics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Biology'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Education'),1
('Philosophy', 'Anthropology', 'Linguistics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Arts', 'Mathematics'),2
('Philosophy', 'Anthropology', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Arts', 'Biology'),1
('Philosophy', 'Anthropology', 'Arts', 'Education'),1
('Philosophy', 'Anthropology', 'Arts', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Biology'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Education'),1
('Philosophy', 'Anthropology', 'Mathematics', 'Computer Science'),2
('Philosophy', 'Anthropology', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Anthropology', 'Cognitive Science', 'Education'),1
('Philosophy', 'Anthropology', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Biology', 'Education'),1
('Philosophy', 'Anthropology', 'Biology', 'Computer Science'),1
('Philosophy', 'Anthropology', 'Education', 'Computer Science'),1
('Philosophy', 'Physics', 'Linguistics', 'Arts'),3
('Philosophy', 'Physics', 'Linguistics', 'Mathematics'),3
('Philosophy', 'Physics', 'Linguistics', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Linguistics', 'Biology'),1
('Philosophy', 'Physics', 'Linguistics', 'Education'),2
('Philosophy', 'Physics', 'Linguistics', 'Computer Science'),3
('Philosophy', 'Physics', 'Arts', 'Mathematics'),5
('Philosophy', 'Physics', 'Arts', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Arts', 'Biology'),3
('Philosophy', 'Physics', 'Arts', 'Education'),3
('Philosophy', 'Physics', 'Arts', 'Computer Science'),5
('Philosophy', 'Physics', 'Mathematics', 'Cognitive Science'),2
('Philosophy', 'Physics', 'Mathematics', 'Biology'),3
('Philosophy', 'Physics', 'Mathematics', 'Education'),3
('Philosophy', 'Physics', 'Mathematics', 'Computer Science'),7
('Philosophy', 'Physics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Physics', 'Cognitive Science', 'Education'),2
('Philosophy', 'Physics', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Physics', 'Biology', 'Education'),2
('Philosophy', 'Physics', 'Biology', 'Computer Science'),3
('Philosophy', 'Physics', 'Education', 'Computer Science'),3
('Philosophy', 'Linguistics', 'Arts', 'Mathematics'),3
('Philosophy', 'Linguistics', 'Arts', 'Cognitive Science'),2
('Philosophy', 'Linguistics', 'Arts', 'Biology'),1
('Philosophy', 'Linguistics', 'Arts', 'Education'),2
('Philosophy', 'Linguistics', 'Arts', 'Computer Science'),3
('Philosophy', 'Linguistics', 'Mathematics', 'Cognitive Science'),5
('Philosophy', 'Linguistics', 'Mathematics', 'Biology'),1
('Philosophy', 'Linguistics', 'Mathematics', 'Education'),3
('Philosophy', 'Linguistics', 'Mathematics', 'Computer Science'),5
('Philosophy', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Linguistics', 'Cognitive Science', 'Education'),3
('Philosophy', 'Linguistics', 'Cognitive Science', 'Computer Science'),4
('Philosophy', 'Linguistics', 'Biology', 'Education'),1
('Philosophy', 'Linguistics', 'Biology', 'Computer Science'),1
('Philosophy', 'Linguistics', 'Education', 'Computer Science'),3
('Philosophy', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Philosophy', 'Arts', 'Mathematics', 'Biology'),3
('Philosophy', 'Arts', 'Mathematics', 'Education'),3
('Philosophy', 'Arts', 'Mathematics', 'Computer Science'),5
('Philosophy', 'Arts', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Arts', 'Cognitive Science', 'Education'),2
('Philosophy', 'Arts', 'Cognitive Science', 'Computer Science'),2
('Philosophy', 'Arts', 'Biology', 'Education'),2
('Philosophy', 'Arts', 'Biology', 'Computer Science'),3
('Philosophy', 'Arts', 'Education', 'Computer Science'),3
('Philosophy', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Mathematics', 'Cognitive Science', 'Education'),3
('Philosophy', 'Mathematics', 'Cognitive Science', 'Computer Science'),4
('Philosophy', 'Mathematics', 'Biology', 'Education'),2
('Philosophy', 'Mathematics', 'Biology', 'Computer Science'),3
('Philosophy', 'Mathematics', 'Education', 'Computer Science'),4
('Philosophy', 'Cognitive Science', 'Biology', 'Education'),2
('Philosophy', 'Cognitive Science', 'Biology', 'Computer Science'),2
('Philosophy', 'Cognitive Science', 'Education', 'Computer Science'),3
('Philosophy', 'Biology', 'Education', 'Computer Science'),2
('Complexity', 'Anthropology', 'Physics', 'Linguistics'),2
('Complexity', 'Anthropology', 'Physics', 'Arts'),2
('Complexity', 'Anthropology', 'Physics', 'Mathematics'),2
('Complexity', 'Anthropology', 'Physics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Physics', 'Biology'),1
('Complexity', 'Anthropology', 'Physics', 'Education'),1
('Complexity', 'Anthropology', 'Physics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Linguistics', 'Arts'),2
('Complexity', 'Anthropology', 'Linguistics', 'Mathematics'),2
('Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Linguistics', 'Biology'),1
('Complexity', 'Anthropology', 'Linguistics', 'Education'),1
('Complexity', 'Anthropology', 'Linguistics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Arts', 'Mathematics'),2
('Complexity', 'Anthropology', 'Arts', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Arts', 'Biology'),1
('Complexity', 'Anthropology', 'Arts', 'Education'),1
('Complexity', 'Anthropology', 'Arts', 'Computer Science'),2
('Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science'),1
('Complexity', 'Anthropology', 'Mathematics', 'Biology'),1
('Complexity', 'Anthropology', 'Mathematics', 'Education'),1
('Complexity', 'Anthropology', 'Mathematics', 'Computer Science'),2
('Complexity', 'Anthropology', 'Cognitive Science', 'Biology'),1
('Complexity', 'Anthropology', 'Cognitive Science', 'Education'),1
('Complexity', 'Anthropology', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Anthropology', 'Biology', 'Education'),1
('Complexity', 'Anthropology', 'Biology', 'Computer Science'),1
('Complexity', 'Anthropology', 'Education', 'Computer Science'),1
('Complexity', 'Physics', 'Linguistics', 'Arts'),2
('Complexity', 'Physics', 'Linguistics', 'Mathematics'),2
('Complexity', 'Physics', 'Linguistics', 'Cognitive Science'),1
('Complexity', 'Physics', 'Linguistics', 'Biology'),1
('Complexity', 'Physics', 'Linguistics', 'Education'),1
('Complexity', 'Physics', 'Linguistics', 'Computer Science'),2
('Complexity', 'Physics', 'Arts', 'Mathematics'),3
('Complexity', 'Physics', 'Arts', 'Cognitive Science'),1
('Complexity', 'Physics', 'Arts', 'Biology'),2
('Complexity', 'Physics', 'Arts', 'Education'),2
('Complexity', 'Physics', 'Arts', 'Computer Science'),3
('Complexity', 'Physics', 'Mathematics', 'Cognitive Science'),2
('Complexity', 'Physics', 'Mathematics', 'Biology'),3
('Complexity', 'Physics', 'Mathematics', 'Education'),2
('Complexity', 'Physics', 'Mathematics', 'Computer Science'),4
('Complexity', 'Physics', 'Cognitive Science', 'Biology'),2
('Complexity', 'Physics', 'Cognitive Science', 'Education'),1
('Complexity', 'Physics', 'Cognitive Science', 'Computer Science'),2
('Complexity', 'Physics', 'Biology', 'Education'),2
('Complexity', 'Physics', 'Biology', 'Computer Science'),4
('Complexity', 'Physics', 'Education', 'Computer Science'),2
('Complexity', 'Linguistics', 'Arts', 'Mathematics'),3
('Complexity', 'Linguistics', 'Arts', 'Cognitive Science'),2
('Complexity', 'Linguistics', 'Arts', 'Biology'),2
('Complexity', 'Linguistics', 'Arts', 'Education'),1
('Complexity', 'Linguistics', 'Arts', 'Computer Science'),2
('Complexity', 'Linguistics', 'Mathematics', 'Cognitive Science'),4
('Complexity', 'Linguistics', 'Mathematics', 'Biology'),2
('Complexity', 'Linguistics', 'Mathematics', 'Education'),2
('Complexity', 'Linguistics', 'Mathematics', 'Computer Science'),3
('Complexity', 'Linguistics', 'Cognitive Science', 'Biology'),2
('Complexity', 'Linguistics', 'Cognitive Science', 'Education'),2
('Complexity', 'Linguistics', 'Cognitive Science', 'Computer Science'),2
('Complexity', 'Linguistics', 'Biology', 'Education'),1
('Complexity', 'Linguistics', 'Biology', 'Computer Science'),1
('Complexity', 'Linguistics', 'Education', 'Computer Science'),2
('Complexity', 'Arts', 'Mathematics', 'Cognitive Science'),2
('Complexity', 'Arts', 'Mathematics', 'Biology'),3
('Complexity', 'Arts', 'Mathematics', 'Education'),2
('Complexity', 'Arts', 'Mathematics', 'Computer Science'),3
('Complexity', 'Arts', 'Cognitive Science', 'Biology'),2
('Complexity', 'Arts', 'Cognitive Science', 'Education'),1
('Complexity', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Complexity', 'Arts', 'Biology', 'Education'),2
('Complexity', 'Arts', 'Biology', 'Computer Science'),2
('Complexity', 'Arts', 'Education', 'Computer Science'),2
('Complexity', 'Mathematics', 'Cognitive Science', 'Biology'),3
('Complexity', 'Mathematics', 'Cognitive Science', 'Education'),3
('Complexity', 'Mathematics', 'Cognitive Science', 'Computer Science'),4
('Complexity', 'Mathematics', 'Biology', 'Education'),2
('Complexity', 'Mathematics', 'Biology', 'Computer Science'),3
('Complexity', 'Mathematics', 'Education', 'Computer Science'),4
('Complexity', 'Cognitive Science', 'Biology', 'Education'),2
('Complexity', 'Cognitive Science', 'Biology', 'Computer Science'),3
('Complexity', 'Cognitive Science', 'Education', 'Computer Science'),3
('Complexity', 'Biology', 'Education', 'Computer Science'),2
('Anthropology', 'Physics', 'Linguistics', 'Arts'),2
('Anthropology', 'Physics', 'Linguistics', 'Mathematics'),2
('Anthropology', 'Physics', 'Linguistics', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Linguistics', 'Biology'),1
('Anthropology', 'Physics', 'Linguistics', 'Education'),1
('Anthropology', 'Physics', 'Linguistics', 'Computer Science'),2
('Anthropology', 'Physics', 'Arts', 'Mathematics'),2
('Anthropology', 'Physics', 'Arts', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Arts', 'Biology'),1
('Anthropology', 'Physics', 'Arts', 'Education'),1
('Anthropology', 'Physics', 'Arts', 'Computer Science'),2
('Anthropology', 'Physics', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Physics', 'Mathematics', 'Biology'),1
('Anthropology', 'Physics', 'Mathematics', 'Education'),1
('Anthropology', 'Physics', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Physics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Physics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Physics', 'Biology', 'Education'),1
('Anthropology', 'Physics', 'Biology', 'Computer Science'),1
('Anthropology', 'Physics', 'Education', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Arts', 'Mathematics'),2
('Anthropology', 'Linguistics', 'Arts', 'Cognitive Science'),1
('Anthropology', 'Linguistics', 'Arts', 'Biology'),1
('Anthropology', 'Linguistics', 'Arts', 'Education'),1
('Anthropology', 'Linguistics', 'Arts', 'Computer Science'),2
('Anthropology', 'Linguistics', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Biology'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Education'),1
('Anthropology', 'Linguistics', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Linguistics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Linguistics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Linguistics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Biology', 'Education'),1
('Anthropology', 'Linguistics', 'Biology', 'Computer Science'),1
('Anthropology', 'Linguistics', 'Education', 'Computer Science'),1
('Anthropology', 'Arts', 'Mathematics', 'Cognitive Science'),1
('Anthropology', 'Arts', 'Mathematics', 'Biology'),1
('Anthropology', 'Arts', 'Mathematics', 'Education'),1
('Anthropology', 'Arts', 'Mathematics', 'Computer Science'),2
('Anthropology', 'Arts', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Arts', 'Cognitive Science', 'Education'),1
('Anthropology', 'Arts', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Arts', 'Biology', 'Education'),1
('Anthropology', 'Arts', 'Biology', 'Computer Science'),1
('Anthropology', 'Arts', 'Education', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Education'),1
('Anthropology', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Biology', 'Education'),1
('Anthropology', 'Mathematics', 'Biology', 'Computer Science'),1
('Anthropology', 'Mathematics', 'Education', 'Computer Science'),1
('Anthropology', 'Cognitive Science', 'Biology', 'Education'),1
('Anthropology', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Anthropology', 'Cognitive Science', 'Education', 'Computer Science'),1
('Anthropology', 'Biology', 'Education', 'Computer Science'),1
