('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts'),2
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Computer Science'),2
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts'),2
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Mathematics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Computer Science'),2
('Philosophy', 'Complexity', 'Anthropology', 'Arts', 'Mathematics'),2
('Philosophy', 'Complexity', 'Anthropology', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Arts', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Arts', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Arts', 'Computer Science'),2
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Mathematics', 'Computer Science'),2
('Philosophy', 'Complexity', 'Anthropology', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Cognitive Science', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Biology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Arts'),2
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Mathematics'),2
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Biology'),1
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Education'),1
('Philosophy', 'Complexity', 'Physics', 'Linguistics', 'Computer Science'),2
('Philosophy', 'Complexity', 'Physics', 'Arts', 'Mathematics'),3
('Philosophy', 'Complexity', 'Physics', 'Arts', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Physics', 'Arts', 'Biology'),2
('Philosophy', 'Complexity', 'Physics', 'Arts', 'Education'),2
('Philosophy', 'Complexity', 'Physics', 'Arts', 'Computer Science'),3
('Philosophy', 'Complexity', 'Physics', 'Mathematics', 'Cognitive Science'),1
('Philosophy', 'Complexity', 'Physics', 'Mathematics', 'Biology'),2
('Philosophy', 'Complexity', 'Physics', 'Mathematics', 'Education'),2
('Philosophy', 'Complexity', 'Physics', 'Mathematics', 'Computer Science'),3
('Philosophy', 'Complexity', 'Physics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Complexity', 'Physics', 'Cognitive Science', 'Education'),1
('Philosophy', 'Complexity', 'Physics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Complexity', 'Physics', 'Biology', 'Education'),2
('Philosophy', 'Complexity', 'Physics', 'Biology', 'Computer Science'),2
('Philosophy', 'Complexity', 'Physics', 'Education', 'Computer Science'),2
('Philosophy', 'Complexity', 'Linguistics', 'Arts', 'Mathematics'),2
('Philosophy', 'Complexity', 'Linguistics', 'Arts', 'Cognitive Science'),1
