('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Biology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Mathematics', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Cognitive Science', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Arts', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Mathematics', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Linguistics', 'Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Cognitive Science', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Mathematics', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Arts', 'Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Physics', 'Mathematics', 'Cognitive Science', 'Biology', 'Education', 'Computer Science'),1
('Philosophy', 'Complexity', 'Anthropology', 'Linguistics', 'Arts', 'Mathematics', 'Cognitive Science', 'Biology', 'Education'),1
